04/28/2026 03:58:51							
04/28/2026 03:59:07	LRV	8449	karṇaśrava	load	loud	Typo	srhodes@snowcrest.net
04/28/2026 11:50:24	AP	12029	kāyādhavaḥ	Prahlād	Prahlāda	Typo – Please note that this is a suggested "Print Change". If this correction is valid, you may consider making this a Global Correction by adding a "blank space" to the end of the Target as: "Prahlād " —> "Prahlāda".	srhodes@snowcrest.net
04/28/2026 12:06:18	AP	12024.03	kāyamānam	Homonym Number Missing	Since the Headword: "kāyamānam" is a Homonym with TWO Separate Listing Locations in the Hierarchy List Column, a Protocol similar to MW Dictionary should be employed by introducing the Numberings: "1" and "2", along with the ability to "CLICK" upon One or the Other Headword in the Window Display in order to be "Transported" to the Related Location within the Hiearchy List Column. You may conveniently consult MW Dictionary on this very Headword and then employ the same Protocol to AP57, as I am suggesting. MW Dictionary uses the Format (for example): "←  [Printed book page 274,1] :". LB Of Course in AP57, the Homonym Number "1" applies to "kāyamānam [ID=12024.03]"  AND  the Homonym Number "2" applies to "kāyamānam [ID= 12028]".  ALSO, the respective Homonym Number should appear to the Right Side of each of the Two Headwords in the Hierarchy List Column as well, for ease of identification.	Homonym Number Missing	srhodes@snowcrest.net
04/28/2026 12:06:49	AP	12028	kāyamānam	Homonym Number Missing	Since the Headword: "kāyamānam" is a Homonym with TWO Separate Listing Locations in the Hierarchy List Column, a Protocol similar to MW Dictionary should be employed by introducing the Numberings: "1" and "2", along with the ability to "CLICK" upon One or the Other Headword in the Window Display in order to be "Transported" to the Related Location within the Hiearchy List Column. You may conveniently consult MW Dictionary on this very Headword and then employ the same Protocol to AP57, as I am suggesting. MW Dictionary uses the Format (for example): "←  [Printed book page 274,1] :". LB Of Course in AP57, the Homonym Number "1" applies to "kāyamānam [ID=12024.03]"  AND  the Homonym Number "2" applies to "kāyamānam [ID= 12028]".  ALSO, the respective Homonym Number should appear to the Right Side of each of the Two Headwords in the Hierarchy List Column as well, for ease of identification.	Homonym Number Missing	srhodes@snowcrest.net
04/28/2026 12:27:44	AP	12030.02	kārāvaraḥ	Niṣāda father and Vaidehi mother	Niṣāda father and Vaidehī mother	Typo – Please note that this is a suggested "Print Change", if in fact the spelling: "Vaidehi" is technically incorrect. Of course it is awkward to spell "Niṣāda" correctly and then follow-up with an incorrect Feminine spelling. If this correction is Valid, then it may be made a Global Correction as: "Vaidehi" —> "Vaidehī"	srhodes@snowcrest.net
04/28/2026 14:17:18	AP	12030.024	kārabhūḥ	kāra + -bhūḥ a toll-station. 	kāra + -bhūḥ f. a toll-station. 	Typo – Please note that this is a "Print Change", as confirmed by Andhrabharati here: https://github.com/sanskrit-lexicon/csl-corrections/issues/119#issuecomment-4335004090	srhodes@snowcrest.net
04/28/2026 14:23:26	AP	12024.036	kāyasthaḥ	Missing Compound	Please Add the Compound Indicated Here in the Window Display: "kāyasthā f."  This compound Deserves to be a Searchable Headword, located in the Hierarchy List Display. Of course we already find "kāyasthī", therefore we MUST include "kāyasthā" !	Missing Compound	srhodes@snowcrest.net
04/28/2026 15:43:10	AP	489	añjas	BLANK SPACE GAP ALERT	Please note that FOLLOWING this Headword in the Hiearchy List Display there is a "BLANK SPACE GAP". There are other instances of this as well. It appears to be a RECENT anomaly, which hopefully can be addressed GLOBALLY, if the cause of this particular ERROR is identified.	BLANK SPACE GAP ALERT	srhodes@snowcrest.net
04/28/2026 15:44:52	AP	11536	kayādhuḥ	BLANK SPACE GAP ALERT	Please note that FOLLOWING this Headword in the Hiearchy List Column there is a "BLANK SPACE GAP". There are other instances of this as well. It appears to be a RECENT anomaly, which hopefully can be addressed GLOBALLY, if the cause of this particular ERROR is identified.	BLANK SPACE GAP ALERT	srhodes@snowcrest.net
04/28/2026 18:25:05	AP	12035.003	kāraṇāt	kāraṇam + .-ṇā + .(-kāraṇāt 	kāraṇāt 	Typo – Please Note that this is Simply CRAZY: "kāraṇam + .-ṇā + .(-kāraṇāt ". Is that supposed to represent some sort of derivation?  Obviously the word "kāraṇāt" is simply the Fifth Case Ablative Singular. CERTAINLY, there is a simpler mode of presentation than this lengthy nonsense.	srhodes@snowcrest.net
04/28/2026 21:37:26	MW	  101818	dhRta	...maintained, supported kept, possessed	supported, kept	Typo, a comma is missing between supported and kept	giuliogey@gmail.com
