07/09/2026 02:48:53	MW	16680	alātaśanti	alātaśanti	alātaśānti	Typo	srhodes@snowcrest.net:Corrected 11 July 2026
07/09/2026 15:17:37	AP	12522.034	kumudanāthaḥ	R.	Mb. 7. 159. 42.	Typo – This is a Print Change in order to correct the citation given here, which is definitively from the Mahābhārata (specifically, Droṇaparvan 7.159.42).	srhodes@snowcrest.net:No change required.
07/09/2026 15:17:58	AP	12522.036	kumudapatiḥ	R.	Mb. 7. 159. 42.	Typo – This is a Print Change in order to correct the citation given here, which is definitively from the Mahābhārata (specifically, Droṇaparvan 7.159.42).	srhodes@snowcrest.net:No change required.
07/09/2026 15:37:49	AP	12522.038	kumudabandhaḥ	R.	Mb. 7. 159. 42.	Typo – This is a Print Change in order to correct the citation given here, which is definitively from the Mahābhārata (specifically, Droṇaparvan 7.159.42).	srhodes@snowcrest.net:No change required.
07/09/2026 15:38:16	AP	12522.04	kumudabāndhavaḥ	R.	Mb. 7. 159. 42.	Typo – This is a Print Change in order to correct the citation given here, which is definitively from the Mahābhārata (specifically, Droṇaparvan 7.159.42).	srhodes@snowcrest.net:No change required.
07/09/2026 15:38:32	AP	12522.042	kumudasuhṛd	R.	Mb. 7. 159. 42.	Typo – This is a Print Change in order to correct the citation given here, which is definitively from the Mahābhārata (specifically, Droṇaparvan 7.159.42).	srhodes@snowcrest.net:No change required
07/09/2026 15:40:07	AP	12522.038	kumudabandhaḥ	kumudabandhaḥ	kumudabandhuḥ	Typo – This is a Print Change in order to correct the spelling! Monier-Williams correctly prints (kumudabandhuḥ). The Proof: The substantive (bandha) denotes "binding," whereas (bandhu) denotes "friend." The contextual synonyms provided in the entry—(nātha), (pati), (bāndhava), and (suhṛd)—all denote "lord" or "friend," proving (kumudabandhaḥ) is a definitive typographical error for the intended (kumudabandhuḥ).	srhodes@snowcrest.net:Corrected 11 July 2026
07/09/2026 15:40:24	AP	12522.038	kumudabandhaḥ	-bandhaḥ	-bandhuḥ	Typo – This is a Print Change in order to correct the spelling! Monier-Williams correctly prints (kumudabandhuḥ). The Proof: The substantive (bandha) denotes "binding," whereas (bandhu) denotes "friend." The contextual synonyms provided in the entry—(nātha), (pati), (bāndhava), and (suhṛd)—all denote "lord" or "friend," proving (kumudabandhaḥ) is a definitive typographical error for the intended (kumudabandhuḥ).	srhodes@snowcrest.net:Corrected 11 July 2025
07/09/2026 15:40:43	AP	12522.04	kumudabāndhavaḥ	-bandhaḥ	-bandhuḥ	Typo – This is a Print Change in order to correct the spelling! Monier-Williams correctly prints (kumudabandhuḥ). The Proof: The substantive (bandha) denotes "binding," whereas (bandhu) denotes "friend." The contextual synonyms provided in the entry—(nātha), (pati), (bāndhava), and (suhṛd)—all denote "lord" or "friend," proving (kumudabandhaḥ) is a definitive typographical error for the intended (kumudabandhuḥ).	srhodes@snowcrest.net:Corrected 11 July 2026
07/09/2026 15:41:04	AP	12522.042	kumudasuhṛd	-bandhaḥ	-bandhuḥ	Typo – This is a Print Change in order to correct the spelling! Monier-Williams correctly prints (kumudabandhuḥ). The Proof: The substantive (bandha) denotes "binding," whereas (bandhu) denotes "friend." The contextual synonyms provided in the entry—(nātha), (pati), (bāndhava), and (suhṛd)—all denote "lord" or "friend," proving (kumudabandhaḥ) is a definitive typographical error for the intended (kumudabandhuḥ).	srhodes@snowcrest.net:Corrected 11 July 2026
07/09/2026 15:41:17	AP	12522.036	kumudapatiḥ	-bandhaḥ	-bandhuḥ	Typo – This is a Print Change in order to correct the spelling! Monier-Williams correctly prints (kumudabandhuḥ). The Proof: The substantive (bandha) denotes "binding," whereas (bandhu) denotes "friend." The contextual synonyms provided in the entry—(nātha), (pati), (bāndhava), and (suhṛd)—all denote "lord" or "friend," proving (kumudabandhaḥ) is a definitive typographical error for the intended (kumudabandhuḥ).	srhodes@snowcrest.net:Corrected 11 July 2026
07/09/2026 15:41:32	AP	12522.034	kumudanāthaḥ	-bandhaḥ	-bandhuḥ	Typo – This is a Print Change in order to correct the spelling! Monier-Williams correctly prints (kumudabandhuḥ). The Proof: The substantive (bandha) denotes "binding," whereas (bandhu) denotes "friend." The contextual synonyms provided in the entry—(nātha), (pati), (bāndhava), and (suhṛd)—all denote "lord" or "friend," proving (kumudabandhaḥ) is a definitive typographical error for the intended (kumudabandhuḥ).	srhodes@snowcrest.net:Corrected 11 July 2026
